LICENSE NUMBER,BUSINESS NAME,LICENSE TYPE,LICENSE EXPIRATION DATE,LICENSE STATUS,PIN,WARD,DISTRICT COUNCIL,ADDRESS,Location,COUNT
20140001202,PUPRAYA THAI RESTAURANT,Liquor On Sale - 101-180 Seats,08/24/2019,Active,252923410259,1,6,945 RICE ST UNIT A ST PAUL MN 55117,"(44.9695280343097, -93.106345029375)",1
20060002522,BENNETT'S CHOP AND RAILHOUSE,Liquor On Sale - 101-180 Seats,08/01/2019,Active,112823430014,2,9,1305 7TH ST W  ST PAUL MN 55102-4135,"(44.9220000541808, -93.135694697788)",1
20010004112,GREAT AMERICAN HISTORY THEATRE,Liquor On Sale - Theater,09/17/2019,Active,312922340200,2,17,30 10TH ST E  ST PAUL MN 55101-2205,"(44.9501368430785, -93.097592543615)",1
20040001923,LOWERTOWN WINE & SPIRITS,Liquor Off Sale,09/01/2019,Active,322922330049,2,17,262 4TH ST E  ST PAUL MN 55101-1484,"(44.9487398719772, -93.085420514053)",1
20140002976,VIEUX CARRE,Liquor On Sale - 101-180 Seats,10/01/2019,Active,062822210041,2,17,408 ST PETER ST  ST PAUL MN 55102-1130,"(44.9464284916961, -93.096660251044)",1
20030001125,LA GROLLA,Liquor On Sale - 100 seats or less,10/09/2019,Active,012823210266,1,8,452 SELBY AVE  ST PAUL MN 55102-1727,"(44.9464716927046, -93.119276170388)",1
20100004767,DESTINY CAFE 2 CORP,Liquor On Sale - 101-180 Seats,11/15/2019,Active,272922220162,6,2,1151 CLARENCE ST  ST PAUL MN 55106-2809,"(44.9760617231713, -93.043368705581)",1
20160002116,AUGUSTINE'S,Liquor On Sale - 100 seats or less,10/21/2019,Active,042823110196,4,13,1668 SELBY AVE  ST PAUL MN 55104-1452,"(44.9463873047204, -93.170999898455)",1
20170003822,KYATCHI,Liquor On Sale - 100 seats or less,10/18/2019,Active,322922330378,2,17,308 PRINCE ST #140 ST PAUL MN 55101,"(44.9492771519454, -93.083570884189)",1
20000003940,SKINNER'S PUB,Liquor On Sale - 100 seats or less,11/01/2019,Active,112823240169,2,9,919 RANDOLPH AVE  ST PAUL MN 55102-3345,"(44.9270355556866, -93.138835327078)",1
20130005179,KOWALSKI'S GRAND MARKET,Liquor Off Sale,09/01/2019,Active,032823420114,3,14,1261 GRAND AVE  ST PAUL MN 55104-3820,"(44.9402097718435, -93.153609095899)",1
20170004042,MONKON SUSHI,Liquor On Sale - 181-290 Seats,10/06/2019,Active,362923310137,1,8,394 UNIVERSITY AVE W  ST PAUL MN 55103,"(44.9555519864989, -93.116670591751)",1
20180003895,SWEET PEAS PUBLIC HOUSE,Liquor On Sale - 100 seats or less,10/16/2019,Pending,102823230196,3,14,472 SNELLING AVE S  ST PAUL MN 55105-2147,"(44.9273940555895, -93.16654242457)",1
20090002922,SPEEDY DALE,Malt Off Sale,10/30/2019,Active,352923140242,1,7,589 DALE ST N  ST PAUL MN 55103-1604,"(44.9590841983429, -93.126658671581)",1
20180002830,HOLMAN'S TABLE,Liquor On Sale - 100 seats or less,08/01/2019,Active,042822330001,2,3,644 BAYFIELD ST  ST PAUL MN 55101-2349,"(44.9419782770847, -93.065088349535)",1
20180002381,FLANNELJAX'S,Liquor On Sale - 100 seats or less,10/10/2019,Active,282923330009,4,11,755 PRIOR AVE N UNIT 102 ST PAUL MN 55104,"(44.9641457828928, -93.182779925402)",1
20150002452,LOS OCAMPOS,Liquor On Sale - 100 seats or less,10/07/2019,Active,362923230237,1,7,615 UNIVERSITY AVE W  ST PAUL MN 55103-1940,"(44.9558996418418, -93.125981784345)",1
20050004074,THE HAPPY GNOME,Liquor On Sale - 181-290 Seats,11/15/2019,Active,012823210271,1,8,498 SELBY AVE  ST PAUL MN 55102-1727,"(44.9464462396555, -93.120957340837)",1
20160001640,PEDDLERS PUB & CAPITOL RIDGE EVENT CTR,Liquor On Sale - 101-180 Seats,11/30/2019,Active,362923440005,1,17,161 ST ANTHONY AVE  ST PAUL MN 55116-1346,"(44.9517614290107, -93.107380641816)",1
20130003592,SHADEY'S,Liquor On Sale - 100 seats or less,10/06/2019,Active,072822410035,2,3,674 DODD ROAD  ST PAUL MN 55107-3639,"(44.9260621212666, -93.088439297593)",1
0091673,FRATERNAL ORDER OF EAGLES,Liquor On Sale-Club under 200 Mbrs - A,10/21/2019,Active,322922410016,7,4,287 MARIA AVE  ST PAUL MN 55106-6225,"(44.9544388689443, -93.070136187532)",1
20040002826,THE KLUB HAUS,Liquor On Sale-Club 501-1000 Mbrs - C,10/18/2019,Active,252923110195,5,6,1079 RICE ST  ST PAUL MN 55117-4920,"(44.9738903724584, -93.106130528262)",1
0086794,MINNESOTA MUSIC CLUB,Liquor On Sale - 181-290 Seats,10/22/2019,Active,322922240115,5,5,499 PAYNE AVE  ST PAUL MN 55130,"(44.9563686138404, -93.078498395555)",1
20130001546,FRENCH MEADOW BAKERY & CAFE,Liquor On Sale - 100 seats or less,12/11/2019,Active,042823410027,3,14,1662 GRAND AVE  ST PAUL MN 55105-1804,"(44.939946577102, -93.170471720023)",1
20160003691,KING THAI RESTAURANT,Liquor On Sale - 181-290 Seats,10/15/2019,Active,362923140139,1,7,225 UNIVERSITY AVE W  ST PAUL MN 55103-2045,"(44.9559548042147, -93.109719833322)",1
0086811,PARK LIQUOR STORE,Liquor Off Sale,10/31/2019,Active,032823220164,1,13,140 SNELLING AVE N  ST PAUL MN 55104-6746,"(44.9455924993825, -93.166825170341)",1
20070004088,MERITAGE,Liquor On Sale - 100 seats or less,11/14/2019,Active,062822210041,2,17,410 ST PETER ST  ST PAUL MN 55102-1105,"(44.9465240604291, -93.096446939553)",1
0086794,MINNESOTA MUSIC CLUB,Malt Off Sale,10/22/2019,Active,322922240115,5,5,499 PAYNE AVE  ST PAUL MN 55130,"(44.9563686138404, -93.078498395555)",1
19990003551,BLACK DOG COFFEE BAR & CAFE,Liquor On Sale - 101-180 Seats,10/25/2019,Active,322922330377,2,17,308 PRINCE ST  ST PAUL MN 55101-1437,"(44.9492771519454, -93.083570884189)",1
20080003854,BIG DISCOUNT LIQUOR,Liquor Off Sale,12/07/2019,Active,252923410259,1,6,945 RICE ST STE C ST PAUL MN 55117,"(44.9695280343097, -93.106345029375)",1
20110004129,MIDWAY LIQUOR STORE,Liquor Off Sale,12/15/2019,Active,332923240079,4,11,1955 UNIVERSITY AVE W UNIT 104 ST PAUL MN 55104,"(44.9579164967527, -93.181960586912)",1
20100004242,SPEEDWAY #4030,Malt Off Sale,12/01/2019,Active,242923110004,5,6,1625 RICE ST  ST PAUL MN 55117-3755,"(44.990291176887, -93.10619976697)",1
20180000170,PAZZALUNA RESTAURANT,Liquor On Sale - 181-290 Seats,01/30/2020,Active,062822120278,2,17,360 ST PETER ST  ST PAUL MN 55102-3641,"(44.9449665788739, -93.094824227354)",1
20160003866,NEW BOHEMIA WURST & BIER HAUS/TRUCK YARD,Liquor On Sale - 291 or more Seats,01/27/2020,Active Pending Ren,062822230179,2,9,222 7TH ST W  ST PAUL MN 55104-3901,"(44.9434108055388, -93.103776208882)",1
0015513,ST PAUL CURLING CLUB,Liquor On Sale-Club 501-1000 Mbrs - C,12/14/2019,Active,012823210267,1,8,470 SELBY AVE  ST PAUL MN 55102-1727,"(44.9464699463669, -93.119938735613)",1
20170004483,HODGES BEND,Liquor On Sale - 101-180 Seats,12/21/2019,Active,292923320131,,,2700 UNIVERSITY AVE W STE 100 ST PAUL MN 55114,,1
20060003254,PAYNE ORIENTAL MARKET,Malt Off Sale,12/01/2019,Active,292922130201,6,5,1048 PAYNE AVE  ST PAUL MN 55130-3841,"(44.9725989167652, -93.073271613294)",1
20160003357,CAN CAN WONDERLAND,Liquor On Sale - 291 or more Seats,05/01/2019,Active,282923330009,4,11,755 PRIOR AVE N ST PAUL MN 55104,"(44.9641457828928, -93.182779925402)",1
20180004478,THE GUILD,Liquor On Sale - 100 seats or less,12/19/2019,Pending,042823110030,4,13,161 SNELLING AVE N  ST PAUL MN 55104-6747,"(44.9462509582042, -93.16721167255)",1
20180000679,"ST PAUL TAP, SPORTS BAR & GAMING CO",Liquor On Sale - 101-180 Seats,06/01/2019,Active,112823120037,2,9,825 JEFFERSON AVE  ST PAUL MN 55102-3249,"(44.9309117378068, -93.134624285603)",1
20180000505,CASAMIGOS RESTAURANT,Liquor On Sale - 100 seats or less,08/09/2019,Active,192922110068,5,5,296 LARPENTEUR AVE E  ST PAUL MN 55117-2824,"(44.9911190720406, -93.087981821289)",1
20170003882,MINNEHAHA LIQUORS,Liquor Off Sale,12/13/2019,Active,262923340022,1,7,945 MINNEHAHA AVE W  ST PAUL MN 55104-1544,"(44.9631184310915, -93.140076707606)",1
20100000062,RAS RESTAURANT & LOUNGE,Liquor On Sale - 101-180 Seats,01/01/2020,Active Pending Ren,212823140003,3,15,2516 7TH ST W  ST PAUL MN 55116-2817,"(44.9009594977091, -93.171329346974)",1
