School,School_Num,Grade,Total_Tested,Proficiency,White%,Asian%,Black%,ELL%,SPED%,FRPL%,Ranking,Address,Latitude,Longitude,Subject
Phalen Lake Hmong Studies Magnet,1623.0,12.0,287.0,32.75,1.0,86.0,3.0,66.0,7.0,83.0,2,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Reading
Ramsey Middle School,1035.0,21.0,531.0,38.79,25.0,15.0,44.0,10.0,12.0,63.0,3,"1700 Summit Ave, St Paul, MN 55105",44.940839700000005,-93.1722396,Reading
Randolph Heights Elementary,1635.0,12.0,214.0,76.64,64.0,7.0,13.0,9.0,6.0,32.0,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Reading
Riverview West School Of Excellence,1653.0,12.0,169.0,18.93,6.0,4.0,22.0,46.0,11.0,75.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Reading
Saint Paul Music Academy,1674.0,12.0,308.0,31.82,5.0,55.0,22.0,54.0,19.0,90.0,2,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Reading
St. Anthony Park Elementary,1671.0,12.0,239.0,67.36,60.0,10.0,12.0,14.0,14.0,26.0,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Reading
The Heights Community School,1464.0,12.0,218.0,23.85,9.0,36.0,28.0,35.0,14.0,70.0,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Reading
Washington Tech Secondary Magnet,756.0,21.0,961.0,28.1,5.0,51.0,27.0,38.0,14.0,88.0,1,"1495 Rice St, St Paul, MN 55117",44.987036700000004,-93.1113717,Reading
Adams Magnet Elementary,410.0,5.0,97.0,34.02,25.0,0.0,15.0,14.0,9.0,48.0,3,"615 S Chatsworth St, St Paul, MN 55102",44.923751,-93.143046,Science
Battle Creek Elementary School,422.0,5.0,65.0,41.54,8.0,35.0,29.0,18.0,17.0,69.0,4,"60 Ruth St S, St Paul, MN 55119",44.9397245,-93.0138965,Science
Benjamin E Mays Magnet,424.0,5.0,65.0,9.23,0.0,11.0,68.0,12.0,17.0,82.0,1,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Science
Bruce F Vento Elementary,449.0,5.0,83.0,14.46,2.0,47.0,31.0,33.0,16.0,94.0,1,"409 Case Ave E, St Paul, MN 55130",44.9708968,-93.08290140000001,Science
Chelsea Heights Elementary,425.0,5.0,75.0,54.67,45.0,9.0,21.0,7.0,20.0,49.0,4,"1557 Huron St, St Paul, MN 55108",44.987962700000004,-93.1560082,Science
Cherokee Heights Elementary School,428.0,5.0,27.0,14.81,11.0,4.0,30.0,22.0,15.0,85.0,1,"694 S Charlton St, St Paul, MN 55107",44.9251564,-93.0954308,Science
Como Park Elementary,431.0,5.0,71.0,23.94,20.0,39.0,18.0,31.0,23.0,76.0,2,"780 W Wheelock Pkwy, St Paul, MN 55117",44.978207700000006,-93.1331767,Science
Crossroads Montessori,465.0,5.0,29.0,27.59,24.0,17.0,14.0,10.0,10.0,48.0,2,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Science
Crossroads Science Program,466.0,5.0,49.0,20.41,6.0,24.0,51.0,16.0,16.0,86.0,1,"543 Front Ave, St Paul, MN 55117",44.970909999999996,-93.1227475,Science
Daytons Bluff Elementary,433.0,5.0,47.0,10.64,4.0,21.0,53.0,23.0,17.0,87.0,1,"262 Bates Ave, St Paul, MN 55106",44.954667,-93.0666879,Science
Eastern Heights Elementary,452.0,5.0,50.0,20.0,14.0,38.0,16.0,38.0,26.0,76.0,1,"2001 Margaret St, St Paul, MN 55119",44.96158699999999,-93.0166144,Science
Expo For Excellence Elementary Sch,435.0,5.0,107.0,54.21,57.0,6.0,23.0,9.0,19.0,33.0,4,"540 Warwick St, St Paul, MN 55116",44.9251799,-93.1621718,Science
Four Seasons Elementary,460.0,5.0,75.0,10.67,12.0,16.0,49.0,40.0,20.0,81.0,1,"318 N Moore St, St Paul, MN 55104",44.950436700000004,-93.183536,Science
Frost Lake Elementary School,464.0,5.0,79.0,16.46,10.0,39.0,30.0,34.0,24.0,84.0,1,"1505 Hoyt Ave E, St Paul, MN 55106",44.9885601,-93.0367747,Science
Galtier Elementary School,467.0,5.0,22.0,0.0,18.0,14.0,45.0,23.0,23.0,77.0,1,"1317 Charles Ave, St Paul, MN 55104",44.9578999,-93.15607929999999,Science
Groveland Park Elementary,476.0,5.0,80.0,55.0,50.0,5.0,26.0,9.0,14.0,45.0,4,"2045 St Clair Ave, St Paul, MN 55105",44.9345874,-93.1841441,Science
Hamline Elementary School,482.0,5.0,44.0,20.45,14.0,11.0,57.0,18.0,14.0,68.0,1,"1599 Englewood Ave, St Paul, MN 55104",44.964667999999996,-93.168084,Science
Highland Park Elementary,491.0,5.0,72.0,30.56,28.0,7.0,49.0,18.0,6.0,62.0,3,"1700 W Saunders Ave, St Paul, MN 55116",44.9139273,-93.1700434,Science
Highwood Hills Elementary,496.0,5.0,36.0,11.11,8.0,25.0,53.0,28.0,19.0,94.0,1,"2188 Londin Ln E, St Paul, MN 55119",44.929363,-93.008086,Science
Horace Mann School,518.0,5.0,78.0,64.1,65.0,4.0,13.0,6.0,12.0,23.0,4,"2001 Eleanor Ave, St Paul, MN 55116",44.921083700000004,-93.185419,Science
Jackson Preparatory Elementary,500.0,5.0,51.0,21.57,2.0,51.0,31.0,43.0,12.0,88.0,1,"437 Edmund Ave W, St Paul, MN 55103",44.958794299999994,-93.11812509999999,Science
Jie Ming Mandarin Immersion Academy,483.0,5.0,21.0,85.71,38.0,43.0,5.0,10.0,0.0,33.0,4,"1845 Sheridan Ave W, St Paul, MN 55116",44.9021561,-93.17898570000001,Science
Jj Hill Montessori,493.0,5.0,46.0,32.61,43.0,9.0,33.0,22.0,9.0,43.0,3,"998 Selby Ave, St Paul, MN 55104",44.9462463,-93.14267729999999,Science
John A. Johnson Achievement Plus El.,415.0,5.0,54.0,18.52,7.0,28.0,33.0,28.0,17.0,89.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Science
Maxfield Elementary School,524.0,5.0,40.0,7.5,8.0,5.0,78.0,2.0,10.0,78.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Science
Nokomis Montessori North Campus,533.0,5.0,38.0,36.84,34.0,42.0,16.0,16.0,21.0,47.0,3,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Science
Nokomis Montessori South Campus,534.0,5.0,37.0,29.73,19.0,51.0,14.0,32.0,16.0,49.0,2,"525 White Bear Ave, St Paul, MN 55106",44.9573338,-93.025938,Science
Obama Service Learning Elementary,578.0,5.0,46.0,4.35,2.0,11.0,70.0,11.0,22.0,96.0,1,"707 Holly Ave, St Paul, MN 55104",44.9436026,-93.1300544,Science
Paul & Sheila Wellstone Elementary,552.0,5.0,94.0,18.09,2.0,16.0,14.0,44.0,19.0,83.0,1,"1041 Marion St, St Paul, MN 55117",44.9728563,-93.1104994,Science
Phalen Lake Hmong Studies Magnet,541.0,5.0,97.0,17.53,1.0,85.0,5.0,54.0,9.0,85.0,1,"1089 N Cypress St, St Paul, MN 55106",44.9738608,-93.0593449,Science
Randolph Heights Elementary,545.0,5.0,67.0,65.67,60.0,13.0,10.0,4.0,4.0,31.0,4,"348 Hamline Ave S, St Paul, MN 55105",44.9310863,-93.1559271,Science
Riverview West School Of Excellence,551.0,5.0,50.0,8.0,2.0,2.0,26.0,40.0,10.0,72.0,1,"160 Isabel St E, St Paul, MN 55107",44.9328031,-93.0767957,Science
Saint Paul Music Academy,558.0,5.0,110.0,11.82,5.0,55.0,24.0,47.0,21.0,93.0,1,"27 Geranium Ave E, St Paul, MN 55117",44.97604159999999,-93.1001936,Science
St. Anthony Park Elementary,557.0,5.0,70.0,62.86,57.0,13.0,19.0,19.0,11.0,33.0,4,"2180 Knapp St, St Paul, MN 55108",44.9780331,-93.1917562,Science
The Heights Community School,488.0,5.0,69.0,10.14,10.0,33.0,26.0,26.0,12.0,67.0,1,"1863 Clear Ave E, St Paul, MN 55119",44.9823881,-93.0209262,Science
American Indian Magnet School,1158.0,13.0,119.0,9.24,4.0,28.0,18.0,29.0,23.0,90.0,1,"1075 3rd St E, St Paul, MN 55106",44.957364500000004,-93.0549594,Science
Battle Creek Middle,310.0,8.0,235.0,12.34,5.0,40.0,35.0,35.0,15.0,75.0,1,"2121 N Park Dr, St Paul, MN 55119",44.9456836,-93.0117856,Science
Capitol Hill Magnet/Rondo,988.0,13.0,350.0,56.0,39.0,23.0,26.0,7.0,7.0,44.0,4,"560 Concordia Ave, St Paul, MN 55103",44.9503016,-93.1223,Science
Creative Arts Secondary School,211.0,8.0,49.0,20.41,20.0,18.0,33.0,8.0,10.0,61.0,2,"65 E Kellogg Blvd, St Paul, MN 55101",44.9451284,-93.0909188,Science
Farnsworth Aerospace Upper,630.0,13.0,270.0,21.85,5.0,64.0,17.0,31.0,10.0,79.0,2,"1000 N Walsh St, St Paul, MN 55106",44.97163700000001,-93.0688803,Science
Hazel Park Preparatory Academy,978.0,13.0,136.0,11.76,3.0,38.0,40.0,24.0,15.0,90.0,1,"1140 White Bear Ave, St Paul, MN 55106",44.9755028,-93.023897,Science
Highland Park Middle School,330.0,8.0,229.0,37.12,42.0,4.0,17.0,8.0,7.0,47.0,4,"975 S, Snelling Ave S, St Paul, MN 55116",44.9114282,-93.1681431,Science
Humboldt High School,225.0,8.0,154.0,5.19,6.0,47.0,27.0,52.0,12.0,86.0,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Science
