School,School_Num,Grade,Total_Tested,Proficiency,White%,White_Proficiency%,Asian%,Asian_Proficiency%,Black%,Black_Proficiency%,ELL%,SPED%,FRPL%,FRPL_Proficiency%,NonFRPL%,NonFRPL_Proficiency%,Ranking,Address,Latitude,Longitude,Subject,City
Highwood Hills Elementary,1488.0,12.0,113.0,21.24,4.0,0.0,25.0,3.57,53.0,25.0,49.0,16.0,88.0,21.21,88.0,0.0,1,"2188 Londin Ln E, St Paul, MN 55119",44.929363,-93.008086,Reading,Saint Paul
Horace Mann School,1554.0,12.0,196.0,77.55,68.0,85.82,4.0,0.0,10.0,25.0,8.0,12.0,19.0,39.47,19.0,85.44,4,"2001 Eleanor Ave, St Paul, MN 55116",44.921083700000004,-93.185419,Reading,Saint Paul
Humboldt High School,675.0,21.0,461.0,22.56,6.0,17.86,42.0,21.03,27.0,20.33,44.0,15.0,86.0,21.36,86.0,30.16,1,"30 Baker St E, St Paul, MN 55107",44.9259731,-93.08407659999999,Reading,Saint Paul
Jackson Preparatory Elementary,1500.0,12.0,148.0,22.3,1.0,0.0,58.0,29.07,27.0,17.5,53.0,13.0,86.0,18.75,86.0,0.0,1,"437 Edmund Ave W, St Paul, MN 55103",44.958794299999994,-93.11812509999999,Reading,Saint Paul
Jie Ming Mandarin Immersion Academy,1449.0,12.0,80.0,86.25,30.0,0.0,34.0,40.74,4.0,0.0,16.0,1.0,20.0,0.0,20.0,92.19,4,"1845 Sheridan Ave W, St Paul, MN 55116",44.9021561,-93.17898570000001,Reading,Saint Paul
Jj Hill Montessori,1479.0,12.0,153.0,52.94,47.0,66.67,7.0,0.0,26.0,20.0,22.0,12.0,37.0,25.0,37.0,69.07,4,"998 Selby Ave, St Paul, MN 55104",44.9462463,-93.14267729999999,Reading,Saint Paul
John A. Johnson Achievement Plus El.,1245.0,12.0,156.0,19.87,6.0,0.0,26.0,20.0,43.0,17.91,29.0,14.0,89.0,19.42,89.0,0.0,1,"740 York Ave, St Paul, MN 55106",44.96802599999999,-93.06880090000001,Reading,Saint Paul
Linwood Monroe Arts Plus Lower,1020.0,7.0,157.0,36.31,32.0,64.0,27.0,14.29,20.0,16.13,41.0,22.0,69.0,18.35,69.0,77.08,2,"1023 Osceola Ave, St Paul, MN 55105",44.93609230000001,-93.1435396,Reading,Saint Paul
Linwood Monroe Arts Plus Upper,2112.0,26.0,470.0,43.4,28.0,73.85,19.0,23.86,33.0,23.72,29.0,20.0,66.0,27.51,66.0,73.91,3,"810 Palace Ave, St Paul, MN 55102",44.928376799999995,-93.1351524,Reading,Saint Paul
Maxfield Elementary School,1572.0,12.0,124.0,16.94,6.0,0.0,6.0,0.0,69.0,16.47,8.0,19.0,82.0,16.67,82.0,0.0,1,"380 N Victoria St, St Paul, MN 55104",44.95261729999999,-93.135536,Reading,Saint Paul
Murray Middle School,1026.0,21.0,673.0,46.06,36.0,77.08,20.0,31.06,24.0,22.01,17.0,14.0,58.0,30.08,58.0,67.96,4,"2200 Buford Ave, St Paul, MN 55108",44.9844951,-93.1931289,Reading,Saint Paul
Nokomis Montessori North Campus,1599.0,12.0,134.0,38.06,28.0,57.89,49.0,24.24,11.0,0.0,36.0,17.0,60.0,26.25,60.0,55.56,3,"985 Ruth St N, St Paul, MN 55119",44.97086669999999,-93.01563190000002,Reading,Saint Paul
