School,Num,Tot_Enroll,Homeless_Count,Homeless%,Address,Latitude,Longitude
Hmong International Academy,291.0,525.0,10.0,1.90%,"1501 N 30th Ave, Minneapolis, MN 55411",45.01060469999999,-93.2984375
Cityview Community,293.0,327.0,26.0,7.95%,"3350 N 4th St, Minneapolis, MN 55412",45.01605439999999,-93.2839668
Anthony Middle School,300.0,781.0,1.0,0.13%,"5757 Irving Ave S, Minneapolis, MN 55419",44.89846199999999,-93.29895100000002
Anwatin Middle Com & Spanish D I,309.0,555.0,7.0,1.26%,"256 Upton Ave S, Minneapolis, MN 55405",44.973612100000004,-93.31647020000001
Northeast Middle,316.0,502.0,17.0,3.39%,"2955 Hayes St NE, Minneapolis, MN 55418",45.0214943,-93.2343793
Olson Middle,318.0,387.0,11.0,2.84%,"1607 51st Ave N, Minneapolis, MN 55430",45.046521999999996,-93.3010377
Justice Page Middle School,323.0,844.0,3.0,0.36%,"1 W 49th St, Minneapolis, MN 55419",44.9132658,-93.2789541
Sanford Middle,324.0,970.0,10.0,1.03%,"3524 42nd Ave S, Minneapolis, MN 55406",44.938672499999996,-93.2133587
Franklin Middle School,327.0,368.0,12.0,3.26%,"1501 Aldrich Ave N, Minneapolis, MN 55412",44.9939916,-93.29028220000001
Fair Senior High,347.0,223.0,1.0,0.45%,"10 S 10th St, Minneapolis, MN 55403",44.9756607,-93.2774017
Edison Senior High,352.0,1005.0,29.0,2.89%,"700 22nd Ave NE, Minneapolis, MN 55418",45.0093165,-93.25167640000001
Henry Senior High,354.0,1057.0,18.0,1.70%,"4320 N Newton Ave, Minneapolis, MN 55412",45.0344106,-93.3053761
Roosevelt Senior High,360.0,1014.0,13.0,1.28%,"4029 S 28th Ave, Minneapolis, MN 55406",44.9295149,-93.2305542
South Senior High,362.0,1739.0,24.0,1.38%,"3131 S 19th Ave, Minneapolis, MN 55407",44.94559960000001,-93.2442208
Wellstone International High,363.0,208.0,5.0,2.40%,"3328 Elliot Ave, Minneapolis, MN 55407",44.9417519,-93.261663
Southwest Senior High,364.0,1923.0,0.0,0.00%,"3414 W 47th St, Minneapolis, MN 55410",44.9182547,-93.3234571
Washburn Senior High,368.0,1632.0,5.0,0.31%,"201 W 49th St, Minneapolis, MN 55419",44.9135166,-93.2824163
North Academy Senior High,375.0,447.0,1.0,0.22%,"1500 James Ave N, Minneapolis, MN 55411",44.9941373,-93.30068490000001
