ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION,District Council - Map,Council Ward,:@computed_region_crxq_iug7,:@computed_region_5wjj_5at9
1156 MARYLAND AVE E,03/22/2019 12:00:00 AM,Single Family Residential,2,6,5,31100,"(44.9773487291127, -93.051705031558)",13,1,129,72
598 LAFOND AVE,03/21/2019 12:00:00 AM,Single Family Residential,2,1,7,32600,"(44.9601196977974, -93.12539472253)",10,7,85,51
1734 7TH ST E,03/21/2019 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.9664939992909, -93.027195269704)",14,2,139,63
1403 HAMLINE AVE N,03/21/2019 12:00:00 AM,Single Family Residential,1,4,10,30201,"(44.9834949793758, -93.15696914765)",2,4,37,77
65 WINIFRED ST W,03/19/2019 12:00:00 AM,Single Family Residential,1,2,3,37100,"(44.9316620044322, -93.0883877698)",7,5,78,18
1155 MARION ST,03/19/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9759788153959, -93.109927686819)",3,3,157,69
941 CYPRESS ST,03/14/2019 12:00:00 AM,Single Family Residential,2,6,5,31600,"(44.9697655636952, -93.058365371239)",13,1,195,65
1311 BURNS AVE,03/14/2019 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.9488932778155, -93.044902775498)",15,2,126,38
817 BURR ST,03/13/2019 12:00:00 AM,Multi-family Residential,2,5,5,31500,"(44.965869347891, -93.080093208114)",13,3,186,59
1144 FAIRMOUNT AVE,03/13/2019 12:00:00 AM,Single Family Residential,2,2,16,35300,"(44.9366493090143, -93.148487489046)",8,5,44,4
2039 CASE AVE,03/05/2019 12:00:00 AM,Single Family Residential,1,6,2,31802,"(44.9704609360422, -93.014335923408)",14,1,152,66
1241 6TH ST E,03/05/2019 12:00:00 AM,Duplex,2,7,4,34601,"(44.9605260318585, -93.048003099777)",15,2,127,38
2060 3RD ST E,03/05/2019 12:00:00 AM,Single Family Residential,1,7,1,34702,"(44.9565683001788, -93.013555565445)",16,2,155,44
1093 6TH ST E,02/28/2019 12:00:00 AM,Single Family Residential,1,7,4,34601,"(44.9605045778387, -93.054265174746)",15,2,127,38
1034 BRADLEY ST,02/28/2019 12:00:00 AM,Single Family Residential,1,5,5,30900,"(44.9724396860172, -93.078468871263)",13,3,185,68
2070 SCHEFFER AVE,02/26/2019 12:00:00 AM,Single Family Residential,1,3,15,43000,"(44.9214418786329, -93.187916734187)",6,6,117,22
1047 4TH ST E,02/21/2019 12:00:00 AM,Duplex,1,7,4,34500,"(44.9586713275938, -93.056426339203)",15,2,196,42
692 6TH ST E,02/21/2019 12:00:00 AM,Single Family Residential,1,7,4,34400,"(44.9571692143371, -93.071794187458)",15,2,188,36
1138 ENGLEWOOD AVE,02/15/2019 12:00:00 AM,Single Family Residential,1,4,11,32300,"(44.9637400516155, -93.148205536332)",4,4,48,54
211 MORTON ST E,02/14/2019 12:00:00 AM,Single Family Residential,2,2,3,37200,"(44.9258672015452, -93.076619304075)",7,5,79,9
377 MARYLAND AVE W,02/14/2019 12:00:00 AM,Single Family Residential,2,5,6,30800,"(44.9774798732552, -93.11595509415)",3,3,158,69
1561 STILLWATER AVE,02/13/2019 12:00:00 AM,Single Family Residential,1,6,2,31801,"(44.9679656308277, -93.034522495522)",14,1,139,63
1220 ST CLAIR AVE,02/12/2019 12:00:00 AM,Duplex,2,3,14,36600,"(44.934037607287, -93.151890617605)",5,6,43,8
1459 PAYNE AVE,02/08/2019 12:00:00 AM,Single Family Residential,2,6,5,30602,"(44.9852209257025, -93.073835917258)",13,1,191,81
270 EARL ST,02/05/2019 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.9494392813004, -93.055568127188)",15,2,125,38
885 MARGARET ST,02/05/2019 12:00:00 AM,Single Family Residential,1,7,4,33100,"(44.9613364128493, -93.063125015286)",15,2,196,52
1809 NEBRASKA AVE E,02/05/2019 12:00:00 AM,Single Family Residential,1,6,2,30702,"(44.986655836636, -93.023861025073)",14,1,148,80
733 EARL ST,02/05/2019 12:00:00 AM,Duplex,1,7,4,31701,"(44.9634528086202, -93.056011765647)",15,2,195,58
1390 BEECH ST,02/05/2019 12:00:00 AM,Single Family Residential,1,7,4,34602,"(44.9620654135776, -93.041998605539)",15,2,135,46
501 DESNOYER AVE,02/04/2019 12:00:00 AM,Duplex,1,4,13,43000,"(44.9549848366528, -93.202551515127)",17,4,113,22
81 HATCH AVE,02/04/2019 12:00:00 AM,Duplex,2,5,6,31400,"(44.9712194623463, -93.103380462213)",3,3,162,62
543 NEVADA AVE E,02/01/2019 12:00:00 AM,Single Family Residential,2,5,5,30601,"(44.9857152201208, -93.07760125898)",13,3,182,78
941 GREENBRIER ST,01/29/2019 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.9697004395415, -93.071195702925)",13,1,189,59
1583 ARLINGTON AVE E,01/29/2019 12:00:00 AM,Single Family Residential,1,6,2,30703,"(44.9849094782047, -93.033557578638)",14,1,136,82
