Block,For_Address,Latitude,Longitude
107x thomas av,"1070 Thomas Ave W, St Paul, MN 55104, USA",44.95917559999999,-93.1453728
107x university av w,"1070 University Ave W, St Paul, MN 55104, USA",44.955626200000005,-93.1452052
107x vanburen av,"1070 Van Buren Ave, St Paul, MN 55104, USA",44.961884999999995,-93.1453834
107x virginia st,"1070 Virginia St, St Paul, MN 55117, USA",44.973554799999995,-93.1145005
108x central av w,"1080 Central Ave W, St Paul, MN 55104, USA",44.9530405,-93.1457476
108x englewood av,"1080 Englewood Ave, St Paul, MN 55104, USA",44.963717100000004,-93.1458092
108x front av,"1080 Front Ave, St Paul, MN 55103, USA",44.9700216,-93.1456958
108x hubbard av,"1080 Hubbard Ave, St Paul, MN 55104, USA",44.9655269,-93.1456911
108x iglehart av,"1080 Iglehart Ave, St Paul, MN 55104, USA",44.9490579,-93.14525090000001
108x lafond av,"1080 Lafond Ave, St Paul, MN 55104, USA",44.9600644,-93.1456019
108x marion st,"1080 Marion St, St Paul, MN 55117, USA",44.9738015,-93.1095598
108x marshall av,"1080 Marshall Ave, St Paul, MN 55104, USA",44.9483109,-93.1457738
108x sherburne av,"1080 Sherburne Ave, St Paul, MN 55104, USA",44.9564354,-93.1457453
108x stinson st,"1080 Stinson St, St Paul, MN 55103, USA",44.9691318,-93.14577270000001
108x thomas av,"1080 Thomas Ave W, St Paul, MN 55104, USA",44.9591874,-93.1457021
108x university av w,"1080 University Ave W, St Paul, MN 55104, USA",44.95524150000001,-93.1454603
109x aurora av,"1090 Aurora Ave, St Paul, MN 55104, USA",44.954837299999994,-93.1449698
109x charles av,"1090 Charles Ave, St Paul, MN 55104, USA",44.957359600000004,-93.1459337
109x front av,"1090 Front Ave, St Paul, MN 55103, USA",44.970228999999996,-93.1459432
109x iglehart av,"1090 Iglehart Ave, St Paul, MN 55104, USA",44.9488152,-93.1455328
109x minnehaha av w,"1090 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628624,-93.1461013
109x piercebutler rd,"1090 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664739,-93.1462355
109x sherburne av,"1090 Sherburne Ave, St Paul, MN 55104, USA",44.9564681,-93.1462175
109x stanthony av,"1090 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
109x thomas av,"1090 Thomas Ave W, St Paul, MN 55104, USA",44.9592118,-93.1461373
109x university av w,"1090 University Ave W, St Paul, MN 55104, USA",44.95551649999999,-93.1459816
10x b st,"100 S B St, St Paul, MN 55106, USA",44.938762700000005,-93.0261009
10x como av,"100 Como Ave, St Paul, MN 55103, USA",44.9586763,-93.1040333
10x empire dr,"100 Empire Dr, St Paul, MN 55103, USA",44.9617168,-93.1054151
10x university av w,"100 University Ave W, St Paul, MN 55155, USA",44.9544033,-93.1045926
10xx fremont av,"1000 Fremont Ave E, St Paul, MN 55106, USA",44.9576214,-93.05824
10xx fuller av,"1000 Fuller Ave, St Paul, MN 55104, USA",44.9537381,-93.1425009
10xx sherburne av,"1000 Sherburne Ave, St Paul, MN 55104, USA",44.956397499999994,-93.1424223
110x edmund av,"1100 Edmund Ave W, St Paul, MN 55104, USA",44.9584615,-93.1467366
110x farrington st,"1100 Farrington St, St Paul, MN 55117, USA",44.9742827,-93.1133069
110x minnehaha av w,"1100 W Minnehaha Ave, St Paul, MN 55104, USA",44.9630234,-93.1467321
110x stanthony av,"1100 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
110x university av w,"1100 University Ave W, St Paul, MN 55104, USA",44.9556268,-93.1464141
111x blair av,"1110 Blair Ave, St Paul, MN 55104, USA",44.9609867,-93.1471879
111x central av w,"1110 Central Ave W, St Paul, MN 55104, USA",44.9530348,-93.1472613
111x edmund av,"1110 Edmund Ave W, St Paul, MN 55104, USA",44.9582726,-93.1471743
111x jenks av,"1110 Jenks Ave E, St Paul, MN 55106, USA",44.971008700000006,-93.0537171
111x lafond av,"1110 Lafond Ave, St Paul, MN 55104, USA",44.960060799999994,-93.1472436
111x minnehaha av w,"1110 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627998,-93.14714190000001
111x sherburne av,"1110 Sherburne Ave, St Paul, MN 55104, USA",44.9564519,-93.1471556
111x thomas av,"1110 Thomas Ave W, St Paul, MN 55104, USA",44.95916709999999,-93.14742690000001
111x university av w,"1110 University Ave W, St Paul, MN 55104, USA",44.955631,-93.1467247
111x vanburen av,"1110 Van Buren Ave, St Paul, MN 55104, USA",44.96186779999999,-93.14722990000001
112x 7 st w,"1120 7th St W, St Paul, MN 55102, USA",44.9245727,-93.1310387
112x blair av,"1120 Blair Ave, St Paul, MN 55104, USA",44.9609846,-93.14762879999999
112x central av w,"1120 Central Ave W, St Paul, MN 55104, USA",44.9528019,-93.1475277
112x concordia av,"1120 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.1481454
112x edmund av,"1120 Edmund Ave W, St Paul, MN 55104, USA",44.958249,-93.1475467
112x lafond av,"1120 Lafond Ave, St Paul, MN 55104, USA",44.96006129999999,-93.1477053
112x minnehaha av w,"1120 W Minnehaha Ave, St Paul, MN 55104, USA",44.962815899999995,-93.14755600000001
112x sherburne av,"1120 Sherburne Ave, St Paul, MN 55104, USA",44.956452500000005,-93.147577
112x thomas av,"1120 Thomas Ave W, St Paul, MN 55104, USA",44.9591674,-93.1476858
112x university av w,"1120 University Ave W, St Paul, MN 55104, USA",44.955469,-93.1471262
113x central av w,"1130 Central Ave W, St Paul, MN 55104, USA",44.9528245,-93.14791020000001
113x charles av,"1130 Charles Ave, St Paul, MN 55104, USA",44.9573409,-93.1479369
113x concordia av,"1130 Concordia Ave, St Paul, MN 55104, USA",44.9512124,-93.1481424
113x edmund av,"1130 Edmund Ave W, St Paul, MN 55104, USA",44.958251000000004,-93.1479583
113x lafond av,"1130 Lafond Ave, St Paul, MN 55104, USA",44.960052600000004,-93.1480189
113x minnehaha av w,"1130 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628084,-93.14783050000001
113x sherburne av,"1130 Sherburne Ave, St Paul, MN 55104, USA",44.956466299999995,-93.1479494
113x thomas av,"1130 Thomas Ave W, St Paul, MN 55104, USA",44.959167799999996,-93.1480366
113x university av w,"1130 University Ave W, St Paul, MN 55104, USA",44.95543869999999,-93.14807370000001
114x blair av,"1140 Blair Ave, St Paul, MN 55104, USA",44.96098079999999,-93.1484149
114x charles av,"1140 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1483417
114x edmund av,"1140 Edmund Ave W, St Paul, MN 55104, USA",44.9582482,-93.1483485
114x lafond av,"1140 Lafond Ave, St Paul, MN 55104, USA",44.960044,-93.1483325
114x larpenteur av w,"1140 Larpenteur Ave W, St Paul, MN 55113, USA",44.9916631,-93.1482075
114x sherburne av,"1140 Sherburne Ave, St Paul, MN 55104, USA",44.9564536,-93.1483218
114x thomas av,"1140 Thomas Ave W, St Paul, MN 55104, USA",44.9591684,-93.148461
114x university av w,"1140 University Ave W, St Paul, MN 55104, USA",44.955436299999995,-93.1487851
114x vanburen av,"1140 Van Buren Ave, St Paul, MN 55104, USA",44.9618568,-93.14839659999998
115x blair av,"1150 Blair Ave, St Paul, MN 55104, USA",44.9609643,-93.14865
115x burr st,"1150 Burr St N, St Paul, MN 55130, USA",44.9759624,-93.0794993
115x central av w,"1150 Central Ave W, St Paul, MN 55104, USA",44.9528217,-93.1486746
115x edmund av,"1150 Edmund Ave W, St Paul, MN 55104, USA",44.95823060000001,-93.1487032
115x lafond av,"1150 Lafond Ave, St Paul, MN 55104, USA",44.960058700000005,-93.1487463
115x marshall av,"1150 Marshall Ave, St Paul, MN 55104, USA",44.9483217,-93.14869420000001
115x minnehaha av w,"1150 W Minnehaha Ave, St Paul, MN 55104, USA",44.96278579999999,-93.1487127
115x sherburne av,"1150 Sherburne Ave, St Paul, MN 55104, USA",44.9564458,-93.14869420000001
115x thomas av,"1150 Thomas Ave W, St Paul, MN 55104, USA",44.959168700000006,-93.1487418
115x university av w,"1150 University Ave W, St Paul, MN 55104, USA",44.95562899999999,-93.1491013
115x vanburen av,"1150 Van Buren Ave, St Paul, MN 55104, USA",44.961871200000004,-93.1487892
115x wynne av,"1150 Wynne Ave, St Paul, MN 55108, USA",44.975431799999996,-93.1489083
116x blair av,"1160 Blair Ave, St Paul, MN 55104, USA",44.9611787,-93.1492153
116x charles av,"1160 Charles Ave, St Paul, MN 55104, USA",44.9573374,-93.1493913
116x edmund av,"1160 Edmund Ave W, St Paul, MN 55104, USA",44.9584589,-93.1492207
116x sherburne av,"1160 Sherburne Ave, St Paul, MN 55104, USA",44.956445200000005,-93.1493802
116x thomas av,"1160 Thomas Ave W, St Paul, MN 55104, USA",44.9593672,-93.149212
116x university av w,"1160 University Ave W, St Paul, MN 55104, USA",44.9556354,-93.1493677
116x vanburen av,"1160 Van Buren Ave, St Paul, MN 55104, USA",44.961891400000006,-93.1493813
117x beech st,"1170 Beech St, St Paul, MN 55106, USA",44.961923,-93.051276
117x blair av,"1170 Blair Ave, St Paul, MN 55104, USA",44.96095379999999,-93.149691
117x charles av,"1170 Charles Ave, St Paul, MN 55104, USA",44.9573287,-93.1497049
117x clarence st,"1170 Clarence St, St Paul, MN 55106, USA",44.976985,-93.04311209999999
117x edmund av,"1170 Edmund Ave W, St Paul, MN 55104, USA",44.9582504,-93.1497395
117x lafond av,"1170 Lafond Ave, St Paul, MN 55104, USA",44.96006129999999,-93.1496911
117x marshall av,"1170 Marshall Ave, St Paul, MN 55104, USA",44.94826519999999,-93.1497264
117x minnehaha av w,"1170 W Minnehaha Ave, St Paul, MN 55104, USA",44.962794,-93.1496772
117x sherburne av,"1170 Sherburne Ave, St Paul, MN 55104, USA",44.9564906,-93.14971340000001
117x thomas av,"1170 Thomas Ave W, St Paul, MN 55104, USA",44.959170799999995,-93.1497511
117x vanburen av,"1170 Van Buren Ave, St Paul, MN 55104, USA",44.96185000000001,-93.1497712
118x blair av,"1180 Blair Ave, St Paul, MN 55104, USA",44.96097460000001,-93.1500745
118x carroll av,"1180 Carroll Ave, St Paul, MN 55104, USA",44.950268200000004,-93.1518798
118x charles av,"1180 Charles Ave, St Paul, MN 55104, USA",44.9573532,-93.1501401
118x concordia av,"1180 Concordia Ave, St Paul, MN 55104, USA",44.95118170000001,-93.1495462
118x edmund av,"1180 Edmund Ave W, St Paul, MN 55104, USA",44.958250299999996,-93.1501032
118x lafond av,"1180 Lafond Ave, St Paul, MN 55104, USA",44.96003899999999,-93.1500741
118x minnehaha av w,"1180 W Minnehaha Ave, St Paul, MN 55104, USA",44.96278220000001,-93.1501085
118x sherburne av,"1180 Sherburne Ave, St Paul, MN 55104, USA",44.956456200000005,-93.1500663
118x thomas av,"1180 Thomas Ave W, St Paul, MN 55104, USA",44.9591703,-93.1500813
118x university av w,"1180 University Ave W, St Paul, MN 55104, USA",44.955649900000004,-93.1499782
119x blair av,"1190 Blair Ave, St Paul, MN 55104, USA",44.960951,-93.15045750000002
119x charles av,"1190 Charles Ave, St Paul, MN 55104, USA",44.9573445,-93.1504538
119x concordia av,"1190 Concordia Ave, St Paul, MN 55104, USA",44.95107549999999,-93.1497146
119x edgcumbe rd,"1190 Edgcumbe Rd, St Paul, MN 55105, USA",44.930445899999995,-93.1497679
119x edmund av,"1190 Edmund Ave W, St Paul, MN 55104, USA",44.9582557,-93.1504361
