index,Grid,Block,For_Address,Latitude,Longitude,Fail,index1
104,86.0,123x lafond av,"1230 Lafond Ave, St Paul, MN 55104, USA",44.9600638,-93.1522475,True,104
105,86.0,123x minnehaha av w,"1230 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627419,-93.1523092,True,105
106,86.0,123x sherburne av,"1230 Sherburne Ave, St Paul, MN 55104, USA",44.956458,-93.15222229999999,True,106
107,86.0,123x thomas av,"1230 Thomas Ave W, St Paul, MN 55104, USA",44.9591349,-93.1522435,True,107
108,86.0,123x university av w,"1230 University Ave W, St Paul, MN 55104, USA",44.95526359999999,-93.1522619,True,108
109,86.0,123x vanburen av,"1230 Van Buren Ave, St Paul, MN 55104, USA",44.96185000000001,-93.1522083,True,109
110,86.0,124x blair av,"1240 Blair Ave, St Paul, MN 55104, USA",44.9609621,-93.1527004,True,110
111,86.0,124x charles av,"1240 Charles Ave, St Paul, MN 55104, USA",44.95732839999999,-93.152655,True,111
112,86.0,124x edmund av,"1240 Edmund Ave W, St Paul, MN 55104, USA",44.9582469,-93.1526241,True,112
113,86.0,124x lafond av,"1240 Lafond Ave, St Paul, MN 55104, USA",44.9600407,-93.15263929999999,True,113
114,86.0,124x minnehaha av w,"1240 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627396,-93.1526253,True,114
115,86.0,124x sherburne av,"1240 Sherburne Ave, St Paul, MN 55104, USA",44.9564532,-93.15263399999999,True,115
116,86.0,124x thomas av,"1240 Thomas Ave W, St Paul, MN 55104, USA",44.959122,-93.15271399999999,True,116
117,86.0,124x university av w,"1240 University Ave W, St Paul, MN 55104, USA",44.95526280000001,-93.1525808,True,117
118,86.0,124x vanburen av,"1240 Van Buren Ave, St Paul, MN 55104, USA",44.9618535,-93.15262369999999,True,118
119,86.0,125x blair av,"1250 Blair Ave, St Paul, MN 55104, USA",44.9609534,-93.1530141,True,119
120,86.0,125x charles av,"1250 Charles Ave, St Paul, MN 55104, USA",44.957347,-93.15301,True,120
121,86.0,125x edmund av,"1250 Edmund Ave W, St Paul, MN 55104, USA",44.9582571,-93.15303159999999,True,121
122,86.0,125x lafond av,"1250 Lafond Ave, St Paul, MN 55104, USA",44.9600422,-93.15303159999999,True,122
123,86.0,125x sherburne av,"1250 Sherburne Ave, St Paul, MN 55104, USA",44.9564729,-93.1530064,True,123
124,86.0,125x vanburen av,"1250 Van Buren Ave, St Paul, MN 55104, USA",44.96182839999999,-93.1529925,True,124
125,86.0,126x charles av,"1260 Charles Ave, St Paul, MN 55104, USA",44.9573245,-93.1534001,True,125
126,86.0,126x minnehaha av w,"1260 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627267,-93.1534454,True,126
127,86.0,126x sherburne av,"1260 Sherburne Ave, St Paul, MN 55104, USA",44.9565106,-93.1536508,True,127
128,86.0,126x thomas av,"1260 Thomas Ave W, St Paul, MN 55104, USA",44.9591143,-93.1533914,True,128
129,86.0,126x university av w,"1260 University Ave W, St Paul, MN 55104, USA",44.95549949999999,-93.1533086,True,129
130,86.0,126x vanburen av,"1260 Van Buren Ave, St Paul, MN 55104, USA",44.9618477,-93.1533689,True,130
131,86.0,127x blair av,"1270 Blair Ave, St Paul, MN 55104, USA",44.9609329,-93.153759,True,131
132,86.0,127x charles av,"1270 Charles Ave, St Paul, MN 55104, USA",44.9573265,-93.1537549,True,132
133,86.0,127x edmund av,"1270 Edmund Ave W, St Paul, MN 55104, USA",44.9582366,-93.15377649999999,True,133
134,86.0,127x lafond av,"1270 Lafond Ave, St Paul, MN 55104, USA",44.960058,-93.15378059999999,True,134
135,86.0,127x minnehaha av w,"1270 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627308,-93.1538412,True,135
136,86.0,127x sherburne av,"1270 Sherburne Ave, St Paul, MN 55104, USA",44.9564513,-93.15379039999999,True,136
137,86.0,127x thomas av,"1270 Thomas Ave W, St Paul, MN 55104, USA",44.9591104,-93.1537942,True,137
138,86.0,127x university av w,"1270 University Ave W, St Paul, MN 55104, USA",44.9554981,-93.15368409999999,True,138
139,86.0,127x vanburen av,"1270 Van Buren Ave, St Paul, MN 55104, USA",44.96184419999999,-93.1537415,True,139
140,86.0,128x blair av,"1280 Blair Ave, St Paul, MN 55104, USA",44.9611442,-93.1543178,True,140
