Block,For_Address,Latitude,Longitude
108x englewood av,"1080 Englewood Ave, St Paul, MN 55104, USA",44.9637171,-93.1458092
108x front av,"1080 Front Ave, St Paul, MN 55103, USA",44.9700216,-93.1456958
108x hubbard av,"1080 Hubbard Ave, St Paul, MN 55104, USA",44.9655269,-93.1456911
108x iglehart av,"1080 Iglehart Ave, St Paul, MN 55104, USA",44.9490579,-93.1452509
108x lafond av,"1080 Lafond Ave, St Paul, MN 55104, USA",44.9600644,-93.1456019
108x marion st,"1080 Marion St, St Paul, MN 55117, USA",44.9738015,-93.1095598
108x marshall av,"1080 Marshall Ave, St Paul, MN 55104, USA",44.9483109,-93.1457738
108x sherburne av,"1080 Sherburne Ave, St Paul, MN 55104, USA",44.9564354,-93.1457453
108x stinson st,"1080 Stinson St, St Paul, MN 55103, USA",44.9691318,-93.1457727
108x thomas av,"1080 Thomas Ave W, St Paul, MN 55104, USA",44.9591874,-93.1457021
108x university av w,"1080 University Ave W, St Paul, MN 55104, USA",44.95524150000001,-93.1454603
109x aurora av,"1090 Aurora Ave, St Paul, MN 55104, USA",44.9548373,-93.1449698
109x charles av,"1090 Charles Ave, St Paul, MN 55104, USA",44.9573596,-93.1459337
109x front av,"1090 Front Ave, St Paul, MN 55103, USA",44.970229,-93.14594319999999
109x iglehart av,"1090 Iglehart Ave, St Paul, MN 55104, USA",44.9488152,-93.1455328
109x minnehaha av w,"1090 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628624,-93.1461013
109x piercebutler rd,"1090 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664739,-93.14623549999999
109x sherburne av,"1090 Sherburne Ave, St Paul, MN 55104, USA",44.9564681,-93.14621749999999
109x stanthony av,"1090 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
109x thomas av,"1090 Thomas Ave W, St Paul, MN 55104, USA",44.9592118,-93.14613729999999
109x university av w,"1090 University Ave W, St Paul, MN 55104, USA",44.95551649999999,-93.1459816
10x b st,"100 S B St, St Paul, MN 55106, USA",44.9387627,-93.02610089999999
10x como av,"100 Como Ave, St Paul, MN 55103, USA",44.9586763,-93.1040333
10x empire dr,"100 Empire Dr, St Paul, MN 55103, USA",44.9617168,-93.1054151
10x university av w,"100 University Ave W, St Paul, MN 55155, USA",44.9544033,-93.10459259999999
10xx fremont av,"1000 Fremont Ave E, St Paul, MN 55106, USA",44.9576214,-93.05824
10xx fuller av,"1000 Fuller Ave, St Paul, MN 55104, USA",44.9537381,-93.1425009
10xx sherburne av,"1000 Sherburne Ave, St Paul, MN 55104, USA",44.9563975,-93.14242229999999
110x edmund av,"1100 Edmund Ave W, St Paul, MN 55104, USA",44.9584615,-93.1467366
110x farrington st,"1100 Farrington St, St Paul, MN 55117, USA",44.9742827,-93.1133069
110x minnehaha av w,"1100 W Minnehaha Ave, St Paul, MN 55104, USA",44.9630234,-93.1467321
110x stanthony av,"1100 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
110x university av w,"1100 University Ave W, St Paul, MN 55104, USA",44.9556268,-93.1464141
111x blair av,"1110 Blair Ave, St Paul, MN 55104, USA",44.9609867,-93.14718789999999
111x central av w,"1110 Central Ave W, St Paul, MN 55104, USA",44.9530348,-93.1472613
111x edmund av,"1110 Edmund Ave W, St Paul, MN 55104, USA",44.9582726,-93.1471743
111x jenks av,"1110 Jenks Ave E, St Paul, MN 55106, USA",44.9710087,-93.0537171
111x lafond av,"1110 Lafond Ave, St Paul, MN 55104, USA",44.9600608,-93.1472436
111x minnehaha av w,"1110 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627998,-93.1471419
111x sherburne av,"1110 Sherburne Ave, St Paul, MN 55104, USA",44.9564519,-93.14715559999999
111x thomas av,"1110 Thomas Ave W, St Paul, MN 55104, USA",44.95916709999999,-93.1474269
111x university av w,"1110 University Ave W, St Paul, MN 55104, USA",44.955631,-93.1467247
111x vanburen av,"1110 Van Buren Ave, St Paul, MN 55104, USA",44.9618678,-93.1472299
