X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2075948790358,44.9044778926205,0054XX 46TH AVE S,MP20217093          ,3     ,2021/01/11 00:00:00+00,30,2021/01/10 00:00:00+00,2021/01/11 00:30:00+00,2242,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2021/01/11 00:00:00+00,14293,-93.20760142,44.90448348,-10375822,5606496,Morris Park,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,177
-93.2753188683056,44.9386477767477,0035XX STEVENS AVE ,MP20217213          ,5     ,2021/01/11 00:00:00+00,349,2021/01/11 00:00:00+00,2021/01/11 03:49:00+00,325,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/11 00:00:00+00,15416,-93.27532211,44.93864844,-10383361,5611868,Lyndale,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,178
-93.2800799393114,44.9698612239979,0001XX GRANT ST W,MP20217216          ,1     ,2021/01/11 00:00:00+00,429,2021/01/11 00:00:00+00,2021/01/11 04:29:00+00,339,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/11 00:00:00+00,17341,-93.28008046,44.96986308,-10383891,5616778,Loring Park,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,179
-93.2625717744239,44.9582169701103,0024XX CHICAGO AVE ,MP20217255          ,3     ,2021/01/11 00:00:00+00,730,2021/01/11 00:00:00+00,2021/01/11 07:30:00+00,430,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/11 00:00:00+00,18932,-93.26257942,44.95822156,-10381942,5614946,Midtown Phillips,2021/01/12 00:00:00+00,2021/01/13 07:00:46+00,180
-93.2192190788123,44.9205858129951,0045XX HIAWATHA AVE ,MP20217265          ,3     ,2021/01/11 00:00:00+00,730,2021/01/09 00:00:00+00,2021/01/11 07:30:00+00,1500,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/11 00:00:00+00,21628,-93.21921931,44.92059183,-10377116,5609028,Hiawatha,2021/01/11 00:00:00+00,2021/01/12 07:00:19+00,181
-93.2994835494484,44.9901694497832,0011XX IRVING AVE N,MP20211874          ,4     ,2021/01/03 00:00:00+00,2004,2021/01/03 00:00:00+00,2021/01/03 20:04:00+00,1900,DASTR   ,DOMESTIC ASSAULT/STRANGULATION,05,2021/01/04 00:00:00+00,18847,-93.29949189,44.99017199,-10386051,5619974,Near - North,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,182
-93.2880120632702,44.9600158820225,0022XX LYNDALE AVE S,MP20213006          ,5     ,2021/01/05 00:00:00+00,1134,2021/01/05 00:00:00+00,2021/01/05 11:34:00+00,1035,THEFT   ,OTHER THEFT                   ,07 ,2021/01/14 00:00:00+00,16534,-93.28801715,44.96002038,-10384774,5615229,Lowry Hill East,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,183
-93.2755614134323,44.9730070551401,,MP20216019          ,1     ,2021/01/09 00:00:00+00,913,2021/01/09 00:00:00+00,2021/01/09 09:13:00+00,913,ROBPER  ,ROBBERY OF PERSON             ,04 ,2021/01/14 00:00:00+00,,-93.27556,44.97301,-10383388,5617273,Downtown West,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,184
-93.2879851138117,44.9996793083725,0006XX BROADWAY AVE W,MP20216812          ,4     ,2021/01/10 00:00:00+00,1410,2021/01/10 00:00:00+00,2021/01/10 14:10:00+00,1130,ASLT2   ,ASSLT W/DNGRS WEAPON          ,05 ,2021/01/14 00:00:00+00,16689,-93.2879891,44.99968546,-10384771,5621471,Hawthorne,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,185
-93.2469590547859,44.9836571133467,0006XX UNIVERSITY AVE SE,MP2021700281        ,2     ,2021/01/13 00:00:00+00,1410,2020/10/24 00:00:00+00,2021/01/13 14:10:00+00,2000,BIKETF  ,BIKE THEFT                    ,07,2021/01/14 00:00:00+00,17977,-93.24696106,44.98366275,-10380204,5618949,Marcy Holmes,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,186
-93.2551337238714,44.9763497088317,0009XX WASHINGTON AVE S,MP20218262          ,1     ,2021/01/12 00:00:00+00,1720,2021/01/12 00:00:00+00,2021/01/12 17:20:00+00,400,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/01/14 00:00:00+00,25093,-93.2551409,44.97635125,-10381114,5617799,Downtown East,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,187
-93.2759207395459,44.9626855413214,0001XX FRANKLIN AVE E,MP20218327          ,5     ,2021/01/12 00:00:00+00,2103,2021/01/12 00:00:00+00,2021/01/12 21:03:00+00,1830,TFPER   ,THEFT FROM PERSON SNATCH/GRAB ,07 ,2021/01/14 00:00:00+00,17928,-93.27592097,44.96268936,-10383428,5615649,Whittier,2021/01/15 00:00:00+00,2021/01/16 07:01:38+00,188
-93.2910483689305,44.998269128406,0018XX BRYANT AVE N,MP20218542          ,4     ,2021/01/13 00:00:00+00,202,2021/01/13 00:00:00+00,2021/01/13 02:02:00+00,202,ARSON   ,ARSON                         ,10 ,2021/01/13 00:00:00+00,16120,-93.29104937,44.99827388,-10385112,5621249,Near - North,2021/01/20 00:00:00+00,2021/01/21 07:00:56+00,189
-93.289548182406,44.9132131190717,0049XX ALDRICH AVE S,MP20218549          ,5     ,2021/01/13 00:00:00+00,328,2021/01/12 00:00:00+00,2021/01/13 03:28:00+00,2200,TMVP    ,THEFT-MOTR VEH PARTS          ,07 ,2021/01/14 00:00:00+00,12676,-93.28955018,44.91321845,-10384945,5607869,Lynnhurst,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,190
-93.2761543015198,44.975968427381,00003X 9TH ST S,MP20218620          ,1     ,2021/01/13 00:00:00+00,1106,2021/01/11 00:00:00+00,2021/01/13 11:06:00+00,1700,BURGB   ,BURGLARY OF BUSINESS          ,06 ,2021/01/14 00:00:00+00,19542,-93.27615928,44.97596973,-10383454,5617739,Downtown West,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,191
-93.2184016119038,44.9874883628204,0009XX WEEKS AVE SE,MP20218632          ,2     ,2021/01/13 00:00:00+00,924,2021/01/13 00:00:00+00,2021/01/13 09:24:00+00,745,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/01/14 00:00:00+00,11501,-93.21840732,44.98749446,-10377025,5619552,Como,2021/01/14 00:00:00+00,2021/01/15 07:00:19+00,192
