Date,City Code,City Name,Ward Code,Ward Name,Precinct Code,Precinct Name,Congressional District,State Senate District,State House District,County Commissioner District,Judicial District,Soil and Water Conservation District,Hospital District,Voter Count,Location
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1230,ST. PAUL W-5 P-08,4,66,66B,03,02,,,2417,"(44.9846319, -93.08261376)"
02/01/2019 12:00:00 AM,120,Roseville,,,0460,ROSEVILLE P-04,4,42,42B,02,02,,,3392,"(45.02774302, -93.1210191)"
02/01/2019 12:00:00 AM,060,Little Canada,,,0100,LITTLE CANADA P-1,4,42,42B,02,02,,,2178,"(45.01561946, -93.09818866)"
02/01/2019 12:00:00 AM,140,St. Paul,06,W-06,1310,ST. PAUL W-6 P-03,4,67,67A,06,02,,,1575,"(44.98855694, -93.04304756)"
02/01/2019 12:00:00 AM,150,Shoreview,,,1610,SHOREVIEW P-3,4,42,42A,01,02,,,3553,"(45.07272188, -93.12868815)"
02/01/2019 12:00:00 AM,060,Little Canada,,,0120,LITTLE CANADA P-3,4,42,42B,02,02,,,1621,"(45.02129174, -93.08453137)"
02/01/2019 12:00:00 AM,070,Maplewood,,,0210,MAPLEWOOD P-09,4,43,43B,07,02,,,1342,"(44.9915351, -92.99560521)"
02/01/2019 12:00:00 AM,120,Roseville,,,0480,ROSEVILLE P-06,4,66,66A,02,02,,,2028,"(45.01144208, -93.16360794)"
02/01/2019 12:00:00 AM,030,Falcon Heights,,,0060,FALCON HEIGHTS P-1,4,66,66A,03,02,,,1466,"(44.98920852, -93.18006124)"
02/01/2019 12:00:00 AM,190,White Bear Lake,03,W-03,1760,WHITE BEAR LAKE W-3 P-1,4,38,38B,07,02,,,2628,"(45.0619086, -93.00948446)"
02/01/2019 12:00:00 AM,100,North Oaks,,,0380,NORTH OAKS P-2,4,38,38B,01,02,,,1916,"(45.10668431, -93.07658149)"
02/01/2019 12:00:00 AM,140,St. Paul,04,W-04,1030,ST. PAUL W-4 P-04,4,64,64A,04,02,,,1857,"(44.95291871, -93.19483588)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0540,ST. PAUL W-1 P-01,4,64,64A,04,02,,,1193,"(44.94322085, -93.1565547)"
02/01/2019 12:00:00 AM,080,Mounds View,,,0300,MOUNDS VIEW P-2,4,42,42A,01,02,,North Suburban,1489,"(45.11460152, -93.20041148)"
02/01/2019 12:00:00 AM,140,St. Paul,01,W-01,0660,ST. PAUL W-1 P-13,4,64,64A,04,02,,,1170,"(44.94340805, -93.1212741)"
02/01/2019 12:00:00 AM,140,St. Paul,05,W-05,1190,ST. PAUL W-5 P-04,4,66,66B,03,02,,,3554,"(44.98458545, -93.11604465)"
