IndexKey,Coordinates,OutputKey
milton_stanthony,"44.952155, -93.139017",milton_stanthony
chatsworth_aurora,"44.954835, -93.141553",chatsworth_aurora
chatsworth_fuller,"44.953945, -93.141544",chatsworth_fuller
chatsworth_central,"44.953051, -93.141553",chatsworth_central
chatsworth_stanthony,"44.952151, -93.141558",chatsworth_stanthony
oxford_aurora,"44.954837, -93.144094",oxford_aurora
oxford_fuller,"44.953937, -93.144097",oxford_fuller
oxford_central,"44.953045, -93.144098",oxford_central
oxford_stanthony,"44.952160, -93.144101",oxford_stanthony
lexington_aurora,"44.954837, -93.146552",lexington_aurora
lexington_fuller,"44.953930, -93.146544",lexington_fuller
lexington_central,"44.953039, -93.146769",lexington_central
lexington_stanthony,"44.952177, -93.146790",lexington_stanthony
dunlap_central,"44.953044, -93.149184",dunlap_central
bigelow_stanthony,"44.952242, -93.148126",bigelow_stanthony
griggs_stanthony,"44.952239, -93.151726",griggs_stanthony
syndicate_stanthony,"44.952266, -93.154252",syndicate_stanthony
griggs_bigelow,"44.952414, -93.151721",griggs_bigelow
hamline_piercebutler,"44.967874, -93.156858",hamline_piercebutler
hamline_taylor,"44.967447, -93.156857",hamline_taylor
hamline_hewitt,"44.966555, -93.156849",hamline_hewitt
hamline_hubbard,"44.965647, -93.156863",hamline_hubbard
hamline_seminary,"44.964744, -93.156844",hamline_seminary
hamline_englewood,"44.964131, -93.156851",hamline_englewood
hamline_minnehaha,"44.962956, -93.156832",hamline_minnehaha
hamline_vanburen,"44.962043, -93.156821",hamline_vanburen
hamline_blair,"44.961131, -93.156821",hamline_blair
hamline_lafond,"44.960235, -93.156825",hamline_lafond
hamline_thomas,"44.959336, -93.156833",hamline_thomas
hamline_edmund,"44.958427, -93.156833",hamline_edmund
hamline_charles,"44.957520, -93.156829",hamline_charles
hamline_sherburne,"44.956616, -93.156828",hamline_sherburne
hamline_university,"44.955811, -93.156832",hamline_university
taylor_piercebutler,"44.967529, -93.152682",taylor_piercebutler
syndicate_piercebutler,"44.967658, -93.154269",syndicate_piercebutler
syndicate_taylor,"44.967464, -93.154277",syndicate_taylor
syndicate_hewitt,"44.966570, -93.154273",syndicate_hewitt
syndicate_hubbard,"44.965660, -93.154277",syndicate_hubbard
syndicate_seminary,"44.964755, -93.154270",syndicate_seminary
syndicate_englewood,"44.963860, -93.154267",syndicate_englewood
syndicate_minnehaha,"44.962968, -93.154262",syndicate_minnehaha
syndicate_vanburen,"44.962053, -93.154274",syndicate_vanburen
syndicate_blair,"44.961146, -93.154275",syndicate_blair
syndicate_lafond,"44.960247, -93.154273",syndicate_lafond
syndicate_thomas,"44.959348, -93.154280",syndicate_thomas
syndicate_edmund,"44.958442, -93.154279",syndicate_edmund
syndicate_charles,"44.957540, -93.154275",syndicate_charles
syndicate_sherburne,"44.956636, -93.154273",syndicate_sherburne
syndicate_university,"44.955815, -93.154265",syndicate_university
griggs_piercebutler,"44.967253, -93.151707",griggs_piercebutler
griggs_hewitt,"44.966577, -93.151710",griggs_hewitt
griggs_hubbard,"44.965686, -93.151711",griggs_hubbard
griggs_seminary,"44.964777, -93.151718",griggs_seminary
griggs_englewood,"44.963881, -93.151703",griggs_englewood
griggs_minnehaha,"44.962985, -93.151722",griggs_minnehaha
griggs_vanburen,"44.962074, -93.151720",griggs_vanburen
griggs_blair,"44.961171, -93.151720",griggs_blair
griggs_lafond,"44.960269, -93.151725",griggs_lafond
griggs_thomas,"44.959361, -93.151729",griggs_thomas
griggs_edmund,"44.958459, -93.151729",griggs_edmund
griggs_charles,"44.957552, -93.151718",griggs_charles
griggs_sherburne,"44.956666, -93.151736",griggs_sherburne
griggs_university,"44.955816, -93.151723",griggs_university
dunlap_piercebutler,"44.966556, -93.149147",dunlap_piercebutler
dunlap_hubbard,"44.965699, -93.149158",dunlap_hubbard
dunlap_seminary,"44.964799, -93.149153",dunlap_seminary
dunlap_englewood,"44.963893, -93.149162",dunlap_englewood
dunlap_minnehaha,"44.963003, -93.149162",dunlap_minnehaha
dunlap_vanburen,"44.962084, -93.149160",dunlap_vanburen
dunlap_blair,"44.961180, -93.149175",dunlap_blair
dunlap_lafond,"44.960279, -93.149170",dunlap_lafond
dunlap_thomas,"44.959368, -93.149170",dunlap_thomas
dunlap_edmund,"44.958459, -93.149181",dunlap_edmund
dunlap_charles,"44.957553, -93.149174",dunlap_charles
dunlap_sherburne,"44.956649, -93.149173",dunlap_sherburne
dunlap_university,"44.955825, -93.149176",dunlap_university
concordia_hamline,"44.951329, -93.156829",concordia_hamline
concordia_griggs,"44.951140, -93.151721",concordia_griggs
concordia_lexington,"44.951267, -93.146619",concordia_lexington
concordia_oxford,"44.951275, -93.144092",concordia_oxford
concordia_chatsworth,"44.951274, -93.141555",concordia_chatsworth
concordia_milton,"44.951281, -93.139018",concordia_milton
concordia_victoria,"44.951272, -93.136456",concordia_victoria
concordia_fisk,"44.951283, -93.134836",concordia_fisk
concordia_avon,"44.951279, -93.133211",concordia_avon
concordia_grotto,"44.951278, -93.131398",concordia_grotto
concordia_stalbans,"44.951280, -93.128861",concordia_stalbans
concordia_dale,"44.951282, -93.126321",concordia_dale
concordia_mackubin,"44.951314, -93.121236",concordia_mackubin
concordia_arundel,"44.951066, -93.118670",concordia_arundel
concordia_western,"44.950680, -93.116159",concordia_western
concordia_marion,"44.950286, -93.109631",concordia_marion
carroll_virginia,"44.949502, -93.114774",carroll_virginia
carroll_western,"44.949494, -93.116163",carroll_western
carroll_mackubin,"44.950369, -93.121233",carroll_mackubin
carroll_arundel,"44.950386, -93.118685",carroll_arundel
carroll_griggs,"44.950280, -93.151790",carroll_griggs
carroll_oxford,"44.950303, -93.144082",carroll_oxford
carroll_chatsworth,"44.950298, -93.141555",carroll_chatsworth
carroll_milton,"44.950326, -93.139007",carroll_milton
carroll_victoria,"44.950345, -93.136466",carroll_victoria
carroll_fisk,"44.950341, -93.134835",carroll_fisk
carroll_avon,"44.950346, -93.133213",carroll_avon
carroll_grotto,"44.950342, -93.131401",carroll_grotto
carroll_stalbans,"44.950341, -93.128876",carroll_stalbans
carroll_dale,"44.950341, -93.126317",carroll_dale
carroll_syndicate,"44.950261, -93.154228",carroll_syndicate
iglehart_kent,"44.949396, -93.123778",iglehart_kent
iglehart_mackubin,"44.949480, -93.121230",iglehart_mackubin
iglehart_arundel,"44.949468, -93.118668",iglehart_arundel
iglehart_oxford,"44.949428, -93.144110",iglehart_oxford
iglehart_chatsworth,"44.949422, -93.141557",iglehart_chatsworth
iglehart_milton,"44.949436, -93.139012",iglehart_milton
iglehart_victoria,"44.949444, -93.136463",iglehart_victoria
iglehart_fisk,"44.949439, -93.134821",iglehart_fisk
iglehart_avon,"44.949440, -93.133202",iglehart_avon
iglehart_grotto,"44.949446, -93.131383",iglehart_grotto
iglehart_stalbans,"44.949433, -93.128858",iglehart_stalbans
iglehart_dale,"44.949442, -93.126307",iglehart_dale
marshall_johnireland,"44.948203, -93.108009",marshall_johnireland
marshall_louis,"44.948194, -93.109919",marshall_louis
marshall_farrington,"44.948203, -93.113399",marshall_farrington
marshall_virginia,"44.948205, -93.114729",marshall_virginia
marshall_kent,"44.948538, -93.123758",marshall_kent
marshall_mackubin,"44.948566, -93.121235",marshall_mackubin
marshall_arundel,"44.948566, -93.118657",marshall_arundel
marshall_snelling,"44.948435, -93.167006",marshall_snelling
marshall_pascal,"44.948478, -93.161882",marshall_pascal
marshall_hamline,"44.948530, -93.156810",marshall_hamline
marshall_griggs,"44.948532, -93.151737",marshall_griggs
marshall_lexington,"44.948558, -93.146645",marshall_lexington
marshall_oxford,"44.948541, -93.144110",marshall_oxford
marshall_chatsworth,"44.948544, -93.141557",marshall_chatsworth
marshall_milton,"44.948550, -93.139024",marshall_milton
marshall_victoria,"44.948533, -93.136460",marshall_victoria
marshall_fisk,"44.948531, -93.134811",marshall_fisk
marshall_avon,"44.948533, -93.133188",marshall_avon
marshall_grotto,"44.948533, -93.131397",marshall_grotto
marshall_stalbans,"44.948534, -93.128846",marshall_stalbans
marshall_dale,"44.948532, -93.126311",marshall_dale
marshall_iglehart,"44.948553, -93.146078",marshall_iglehart
marshall_western,"44.948211, -93.116157",marshall_western
marshall_dunlap,"44.948539, -93.149184",marshall_dunlap
marshall_albert,"44.948494, -93.159404",marshall_albert
marshall_syndicate,"44.948532, -93.154267",marshall_syndicate
pascal_stanthony,"44.952175, -93.161895",pascal_stanthony
bigelow_dunlap,"44.952588, -93.149180",bigelow_dunlap
donohue_syndicate,"44.953464, -93.154251",donohue_syndicate
i94_maryland,"44.950886, -93.109957",i94_maryland
i94_western,"44.951222, -93.116132",i94_western
i94_dale,"44.951720, -93.126326",i94_dale
i94_victoria,"44.951777, -93.136470",i94_victoria
i94_lexington,"44.951730, -93.146632",i94_lexington
i94_hamline,"44.951749, -93.156835",i94_hamline
i94_pascal,"44.951669, -93.161921",i94_pascal
linden_mtairy,"44.959025, -93.095111",linden_mtairy
linden_arch,"44.960767, -93.095135",linden_arch
wales_arch,"44.960332, -93.096879",wales_arch
wales_mtairy,"44.959347, -93.097249",wales_mtairy
jackson_university,"44.955956, -93.096982",jackson_university
jackson_mtairy,"44.959459, -93.098604",jackson_mtairy
rice_pennsylvania,"44.960366, -93.105941",rice_pennsylvania
cedar_sherburne,"44.956855, -93.100879",cedar_sherburne
front_lexington,"44.970295, -93.146572",lexington_front
stinson_lexington,"44.969316, -93.146529",lexington_stinson
burgess_lexington,"44.968423, -93.146587",lexington_burgess
piercebutler_lexington,"44.966484, -93.146616",lexington_piercebutler
hubbard_lexington,"44.965723, -93.146601",lexington_hubbard
seminary_lexington,"44.964816, -93.146601",lexington_seminary
englewood_lexington,"44.963926, -93.146539",lexington_englewood
minnehaha_lexington,"44.963024, -93.146609",lexington_minnehaha
vanburen_lexington,"44.962103, -93.146530",lexington_vanburen
blair_lexington,"44.961202, -93.146541",lexington_blair
lafond_lexington,"44.960284, -93.146534",lexington_lafond
thomas_lexington,"44.959371, -93.146547",lexington_thomas
edmund_lexington,"44.958471, -93.146540",lexington_edmund
charles_lexington,"44.957558, -93.146543",lexington_charles
sherburne_lexington,"44.956644, -93.146545",lexington_sherburne
university_lexington,"44.955826, -93.146539",lexington_university
front_oxford,"44.970215, -93.144056",oxford_front
stinson_oxford,"44.969306, -93.144063",oxford_stinson
burgess_oxford,"44.968405, -93.144056",oxford_burgess
topping_oxford,"44.967506, -93.144072",oxford_topping
piercebutler_oxford,"44.966474, -93.144070",oxford_piercebutler
hubbard_oxford,"44.965716, -93.144085",oxford_hubbard
seminary_oxford,"44.964801, -93.144073",oxford_seminary
englewood_oxford,"44.963907, -93.144076",oxford_englewood
minnehaha_oxford,"44.963013, -93.144076",oxford_minnehaha
vanburen_oxford,"44.962097, -93.144085",oxford_vanburen
blair_oxford,"44.961194, -93.144074",oxford_blair
lafond_oxford,"44.960278, -93.144086",oxford_lafond
thomas_oxford,"44.959368, -93.144091",oxford_thomas
edmund_oxford,"44.958459, -93.144094",oxford_edmund
charles_oxford,"44.957553, -93.144087",oxford_charles
sherburne_oxford,"44.956642, -93.144086",oxford_sherburne
university_oxford,"44.955836, -93.144082",oxford_university
front_chatsworth,"44.970208, -93.141528",chatsworth_front
stinson_chatsworth,"44.969301, -93.141536",chatsworth_stinson
burgess_chatsworth,"44.968396, -93.141537",chatsworth_burgess
topping_chatsworth,"44.967497, -93.141540",chatsworth_topping
piercebutler_chatsworth,"44.966144, -93.141543",chatsworth_piercebutler
hubbard_chatsworth,"44.965703, -93.141542",chatsworth_hubbard
seminary_chatsworth,"44.964802, -93.141549",chatsworth_seminary
englewood_chatsworth,"44.963893, -93.141544",chatsworth_englewood
minnehaha_chatsworth,"44.963002, -93.141548",chatsworth_minnehaha
vanburen_chatsworth,"44.962081, -93.141554",chatsworth_vanburen
blair_chatsworth,"44.961184, -93.141555",chatsworth_blair
lafond_chatsworth,"44.960268, -93.141565",chatsworth_lafond
thomas_chatsworth,"44.959365, -93.141564",chatsworth_thomas
edmund_chatsworth,"44.958455, -93.141557",chatsworth_edmund
charles_chatsworth,"44.957550, -93.141556",chatsworth_charles
sherburne_chatsworth,"44.956638, -93.141563",chatsworth_sherburne
university_chatsworth,"44.955828, -93.141563",chatsworth_university
piercebutler_milton,"44.965095, -93.139137",milton_piercebutler
