index,Block,Address,Latitude,Longitude
174,109x front av,"1090 Front Ave, St Paul, MN 55103, USA",44.970229,-93.1459432
175,109x iglehart av,"1090 Iglehart Ave, St Paul, MN 55104, USA",44.9488152,-93.1455328
176,109x minnehaha av w,"1090 W Minnehaha Ave, St Paul, MN 55104, USA",44.9628624,-93.1461013
177,109x piercebutler rd,"1090 W Pierce Butler Route, St Paul, MN 55104, USA",44.9664739,-93.1462355
178,109x sherburne av,"1090 Sherburne Ave, St Paul, MN 55104, USA",44.9564681,-93.1462175
179,109x stanthony av,"1090 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
180,109x thomas av,"1090 Thomas Ave W, St Paul, MN 55104, USA",44.9592118,-93.1461373
181,109x university av w,"1090 University Ave W, St Paul, MN 55104, USA",44.95551649999999,-93.1459816
182,10x b st,"100 S B St, St Paul, MN 55106, USA",44.93876270000001,-93.0261009
183,10x como av,"100 Como Ave, St Paul, MN 55103, USA",44.9586763,-93.1040333
184,10x empire dr,"100 Empire Dr, St Paul, MN 55103, USA",44.9617168,-93.1054151
185,10x university av w,"100 University Ave W, St Paul, MN 55155, USA",44.9544033,-93.1045926
186,10xx fremont av,"1000 Fremont Ave E, St Paul, MN 55106, USA",44.9576214,-93.05824
187,10xx fuller av,"1000 Fuller Ave, St Paul, MN 55104, USA",44.9537381,-93.1425009
188,10xx sherburne av,"1000 Sherburne Ave, St Paul, MN 55104, USA",44.9563975,-93.1424223
189,110x edmund av,"1100 Edmund Ave W, St Paul, MN 55104, USA",44.9584615,-93.1467366
190,110x farrington st,"1100 Farrington St, St Paul, MN 55117, USA",44.9742827,-93.1133069
191,110x minnehaha av w,"1100 W Minnehaha Ave, St Paul, MN 55104, USA",44.9630234,-93.1467321
192,110x stanthony av,"1100 St Anthony Ave, St Paul, MN 55104, USA",44.9521751,-93.1468001
193,110x university av w,"1100 University Ave W, St Paul, MN 55104, USA",44.9556268,-93.1464141
194,111x blair av,"1110 Blair Ave, St Paul, MN 55104, USA",44.9609867,-93.1471879
195,111x central av w,"1110 Central Ave W, St Paul, MN 55104, USA",44.9530348,-93.1472613
196,111x edmund av,"1110 Edmund Ave W, St Paul, MN 55104, USA",44.9582726,-93.1471743
197,111x jenks av,"1110 Jenks Ave E, St Paul, MN 55106, USA",44.97100870000001,-93.0537171
198,111x lafond av,"1110 Lafond Ave, St Paul, MN 55104, USA",44.9600608,-93.1472436
199,111x minnehaha av w,"1110 W Minnehaha Ave, St Paul, MN 55104, USA",44.9627998,-93.1471419
200,111x sherburne av,"1110 Sherburne Ave, St Paul, MN 55104, USA",44.9564519,-93.1471556
201,111x thomas av,"1110 Thomas Ave W, St Paul, MN 55104, USA",44.95916709999999,-93.1474269
202,111x university av w,"1110 University Ave W, St Paul, MN 55104, USA",44.955631,-93.1467247
203,111x vanburen av,"1110 Van Buren Ave, St Paul, MN 55104, USA",44.96186779999999,-93.1472299
204,112x 7 st w,"1120 7th St W, St Paul, MN 55102, USA",44.9245727,-93.1310387
205,112x blair av,"1120 Blair Ave, St Paul, MN 55104, USA",44.9609846,-93.1476288
