Address,Block,Block1,Coordinates,For_Address,Latitude,Longitude,Pass1
"470 lexington pa n, Saint Paul, MN, 55104",47x lexington pa n,27.0,"{'formatted_address': '470 Hamline Ave N, St Paul, MN 55104, USA', 'latitude': 44.9549815, 'longitude': -93.1563022, 'input_string': '470 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 2, 'status': 'OK'}","470 Hamline Ave N, St Paul, MN 55104, USA",44.9549815,-93.1563022,
"480 lexington pa n, Saint Paul, MN, 55104",48x lexington pa n,1.0,"{'formatted_address': '1096 Grand Ave, St Paul, MN 55105, USA', 'latitude': 44.9398043, 'longitude': -93.1463622, 'input_string': '480 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","1096 Grand Ave, St Paul, MN 55105, USA",44.9398043,-93.1463622,
"300 lexington pa n, Saint Paul, MN, 55104",3xx lexington pa n,1.0,"{'formatted_address': '300 N Mississippi River Blvd, St Paul, MN 55104, USA', 'latitude': 44.9500568, 'longitude': -93.198577, 'input_string': '300 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","300 N Mississippi River Blvd, St Paul, MN 55104, USA",44.9500568,-93.198577,
"310 griggs st n, Saint Paul, MN, 55104",31x griggs st n,1.0,"{'formatted_address': 'Griggs St N, St Paul, MN 55104, USA', 'latitude': 44.9675573, 'longitude': -93.15169069999999, 'input_string': '310 griggs st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","Griggs St N, St Paul, MN 55104, USA",44.9675573,-93.15169069999999,
"330 lexington pa n, Saint Paul, MN, 55104",33x lexington pa n,1.0,"{'formatted_address': 'St Paul, MN 55104, USA', 'latitude': 44.9516643, 'longitude': -93.16290629999999, 'input_string': '330 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","St Paul, MN 55104, USA",44.9516643,-93.16290629999999,
"370 lexington pa n, Saint Paul, MN, 55104",37x lexington pa n,17.0,"{'formatted_address': '474 Lexington Pkwy N, St Paul, MN 55104, USA', 'latitude': 44.9553059, 'longitude': -93.1462304, 'input_string': '370 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","474 Lexington Pkwy N, St Paul, MN 55104, USA",44.9553059,-93.1462304,
"390 griggs st n, Saint Paul, MN, 55104",39x griggs st n,3.0,"{'formatted_address': 'Griggs St N, St Paul, MN 55104, USA', 'latitude': 44.9675573, 'longitude': -93.15169069999999, 'input_string': '390 griggs st n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","Griggs St N, St Paul, MN 55104, USA",44.9675573,-93.15169069999999,
"390 lexington pa n, Saint Paul, MN, 55104",39x lexington pa n,147.0,"{'formatted_address': '390 Robert St N, St Paul, MN 55101, USA', 'latitude': 44.9482015, 'longitude': -93.0913934, 'input_string': '390 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","390 Robert St N, St Paul, MN 55101, USA",44.9482015,-93.0913934,
"400 lexington pa n, Saint Paul, MN, 55104",40x lexington pa n,1.0,"{'formatted_address': '400 N Syndicate St, St Paul, MN 55104, USA', 'latitude': 44.953212, 'longitude': -93.153875, 'input_string': '400 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","400 N Syndicate St, St Paul, MN 55104, USA",44.953212,-93.153875,
"450 lexington pa n, Saint Paul, MN, 55104",45x lexington pa n,23.0,"{'formatted_address': '450 N Syndicate St # 5, St Paul, MN 55104, USA', 'latitude': 44.9548494, 'longitude': -93.1541089, 'input_string': '450 lexington pa n, Saint Paul, MN, 55104', 'number_of_results': 1, 'status': 'OK'}","450 N Syndicate St # 5, St Paul, MN 55104, USA",44.9548494,-93.1541089,
